date,type,actor,affiliation,state_or_district,event,detail,race_link,significance,source_url
2026-06-14,북한,트럼프,R-행정부,,NSS서 북핵 비핵화 목표 문구 삭제,2003년 이래 모든 정부 NSS에 있던 '북핵 위협 종식' 목표가 신규 글로벌안보 로드맵에 부재; Trump-Kim 회동 재개 기대 자극,,3,https://www.scmp.com/news/asia/east-asia/article/3335605/trump-drops-north-korea-denuclearisation-goal-2026-hints-talks-kim-jong-un
2026-06-14,북한,USNI/CRS,의회,,의회 제출 북핵·미사일 보고서 갱신,북한 9차 당대회서 핵보유국 지위 '불가역적' 규정; 미국이 1718위원회에 제재 선박 7척 등재 제안했으나 중·러가 6월 중순까지 보류,,2,https://news.usni.org/2026/06/03/report-to-congress-on-north-koreas-nuclear-weapons-and-missile-programs-4
2026-06-14,북한,외교트랙,행정부,,대북 외교 2026 내내 후순위,Iran 전쟁(2/28 개전)·Venezuela 작전이 외교 스포트라이트 흡수하며 대북 외교 정체; Trump-Kim 회동 관측만 지속,,1,https://www.38north.org/2026/02/the-2026-window-can-the-ember-of-us-north-korea-diplomacy-still-catch-fire/
2026-06-14,인사,주한대사(공석),국무부,,주한 미 대사 공석 장기화,대사대리 이임·새 보직 이동설; 트럼프 행정부 한국 포함 약 80개국 정식 대사 미지명; 1기 때 Harris 지명까지 17개월 전례,,2,https://www.koreaherald.com/article/10650777
2026-06-14,통상,트럼프,R-행정부,,10월 무역합의 미비준 시 25% 관세 재인상 위협,한미 10월 무역합의 비준 안 되면 25% 관세 재인상 위협(1/27 발언 배경); 윈도우 내 신규 진전 미확인,,2,https://www.orfonline.org/research/south-korea-s-policy-adjustments-under-trump-2-0
2026-06-14,선거연계,Young Kim,R-하원,CA-40,CA-40 Young Kim vs Ken Calvert 공화 동족 본선 확정,Prop 50 재획정으로 한국계 현역 Kim과 6선 Calvert가 같은 신설구에 묶여 둘 다 본선행; 신설구는 2024 대선 기준 더 공화 성향이라 민주 픽업 대상 아님,CA-40,2,https://www.notus.org/2026-election/two-house-republicans-california-40th-district
2026-06-18,인사,Michelle Park Steel,R-국무부,,상원 본회의 Michelle Park Steel 주한대사 인준 가결(55-39),한국계 전 CA 공화 하원의원; 4/13 트럼프 지명·6/4 외교위 14-8 통과 후 6/17 본회의 55-39 인준; Sung Kim 이후 두 번째 한국계 주한대사; 약 1.5년 공석 해소; 반대 39표 당파적 표결,,3,https://www.koreaherald.com/article/10774361
2026-06-18,선거연계,Grace Meng/Dave Min/Marilyn Strickland,D-하원,,한국계 의원들 Korea Caucus 창립자 Charles Rangel 추모 결의안 공동발의,6/12 발의; 고 Rangel(Korea Caucus 창립멤버·한국전 참전·전 하원 세입위원장) 추모; 공동발의에 한국계 Dave Min(CA-47)·Marilyn Strickland(WA-10) 포함,,1,https://www.koreaherald.com/article/10770949
2026-06-19,선거연계,Julie Won,D-NYC 시의원/하원후보,NY-07,한국계 Julie Won NY-07 민주 예선(6/23) 도전 — 'NY주 첫 한국계 연방하원' 목표,퀸스 시의원(뉴욕시의회 첫 한국계); 은퇴하는 Velázquez 후임 도전; 5월 다수 AAPI 단체 지지; NY-07 Safe D라 6/23 민주 예선이 사실상 승부처; 예선 결과 미확인(6/23 이후 갱신),NY-07,1,https://qns.com/2026/03/won-launches-ny-7-bid/
2026-06-19,선거연계,Charles Park,D-하원후보,NY-06,한국계 Charles Park NY-06 민주 예선(6/23) 도전 — 현역 Grace Meng에 맞서,퀸스 출신 한국계·전 미 외교관(Foreign Service); 현역 Grace Meng에 도전; NY-06 Safe D; 예선 결과 미확인(6/23 이후 갱신),NY-06,1,https://www.cityandstateny.com/prediction-markets/races/ny-06-democratic-nominee
2026-06-24,선거연계,Julie Won/Claire Valdez/Grace Meng/Charles Park,D-하원후보,NY-07,NY-07·NY-06 민주 예선 결과 확정 — 한국계 Julie Won 3위 낙선; 11월 본선行 한국계 전무,NY-07(개표 ~87%) Claire Valdez(DSA·주의원) 58.1% 당선; Antonio Reynoso 32.5%; 한국계 퀸스 시의원 Julie Won 7.5%로 3위(5월 Emerson ~13%보다 하락); NY-06 현역 Grace Meng이 한국계 전 외교관 Charles Park 제압; 'NY주 첫 한국계 연방하원' 목표 무산; 양석 모두 Safe D로 의석통제 영향 없음,NY-07,2,https://www.brooklynpaper.com/valdez-beats-reynoso-ny-7-primary/
2026-06-26,선거연계,Andy Kim/Young Kim/Cory Booker,D-상원·R-하원,,KAGC 첫 'Korean American Night'(6/23 워싱턴 LG 사무소)— 한국계 정치력 과시·Partner with Korea Act 추진·Steel 주한대사 평가 분열,KAGC(재미한인유권자연대) 첫 Korean American Night 6/23 워싱턴 LG 사무소서 개최; 앤디 김(D-NJ)·코리 부커(D-NJ)·영 김(R-CA) 참석; 현 연방의원 한국계 4인·한국계 의회 보좌진 약 90명 강조; 영 김(하원 외교위 동아태소위원장) 'Partner with Korea Act'(한국 고급인력 대상 E-4 비자 최대 15000개 신설) 통과 추진 재천명·한국 美 8위 교역국·3500억달러 투자 언급; Michelle Steel 주한대사(6/17 55-39 인준) 평가 분열— 영 김 '적임자(right person at right time)'·앤디 김 '아시아계 후보 인종주의적 공격' 비판·사과 요구,,2,https://www.upi.com/Top_News/World-News/2026/06/25/Korean-American-Grassroots-Conference/5141782428602/
2026-06-26,산업,Hanwha Power(한화파워),한국 기업,OH,한화파워 美 전력시장 첫 진출— 오하이오 가스발전소에 가스압축기 3기 공급·9년 서비스계약,한화파워가 오하이오주 가스발전소에 가스압축기 3기 공급·9년 서비스 계약으로 美 전력시장 첫 진출(6/25 Asia Today); 한국 기업의 대미 에너지·산업 투자 흐름 일환; 직접적 의회·정책 연계는 없음(트렌드),,1,https://www.upi.com/Top_News/World-News/2026/06/25/hanwha-power-ohio-power-plant/3641782431486/
2026-06-26,산업,LS Cable(LS전선),한국 기업,VA,LS전선 버지니아 해저케이블 공장 핵심공정(201m 타워) 착수,LS전선이 버지니아 해저케이블 공장에서 201m 타워 건설 착수(6/25 Asia Today); 美 전력망·AI 데이터센터 전력수요 겨냥; 한국 기업 대미 산업투자 흐름(트렌드),,1,https://www.upi.com/Top_News/World-News/2026/06/25/ls-cable-201-meter-tower-virginia-subsea-cable-plant/5341782430471/
2026-06-28,산업,한국수출입은행·한미전략투자공사·조선3사(HD현대중공업·삼성중공업·한화오션),한국 정책금융/기업,,한·미 1500억달러 조선협력 투자동맹 출범·'한미 조선협력 투자협의회' 신설(6/25)— 2025-11 딜의 1500억달러 조선 패키지 첫 제도적 이행,한국수출입은행·산업은행·무역보험공사·해양진흥공사 등 정책금융기관과 한미전략투자공사가 HD현대중공업·삼성중공업·한화오션 조선 3사와 6/25 서울 수은 본점서 MOU 체결; '한미 조선협력 투자협의회' 신설(수은 사무국)— 美 조선소 투자·함정 건조·MRO·상선 등 프로젝트 발굴·정책금융 조율; MASGA(Make American Shipbuilding Great Again) 이행 첫 제도적 단계로 2025-11 한미 전략적 무역·투자 딜의 1500억달러 조선 패키지 구체화; 직접적 美 의회·표결 연계 없음(이행/트렌드),,2,https://www.koreaherald.com/article/10788249
2026-07-04,통상,US House Judiciary Committee(짐 조던 위원장)·한국 대통령실,R-하원 법사위/한국 정부,,美 하원 법사위 '한국의 미국기업 차별' 보고서(Closed for Competition) 발표(7/1)— 쿠팡 사례 중심·2025 무역합의 위반 주장; 한국 정부 7/2 '사실과 다르다' 반박,하원 법사위(공화) 35쪽 interim staff report 'Closed for Competition: South Korea's Discriminatory Attacks on American-owned Businesses' 7/1(ET) 발표; 쿠팡 데이터 유출(3370만명) 조사 계기— 임시 CEO Harold Rogers(미국 시민) 약 7시간 비공개 증언; 'whole-of-government assault' 주장— NIS의 중국 기기회수 지시 후 부인·Rogers 형사입건 위협·공정위 dawn raids·4.1억달러 과징금 '불비례'; 한국 디지털 규제(DMA 모델)의 미국기업 겨냥 '무기화' 주장; 2025 한미 무역합의 위반 주장·10년간 5000억달러+ 비용 경고; Rogers 'the most difficult regulatory environment(경력상 가장 어려운 규제환경)'; 한국 대통령실 7/2 'factually inaccurate(사실과 다르다)·쿠팡 주장 일방 의존' 반박; 트럼프 25% 관세 위협·§122 만료(~7/24) 국면과 중첩되는 의회발 통상압박 채널,,2,https://judiciary.house.gov/media/press-releases/new-report-exposes-south-koreas-discriminatory-attacks-american-owned
2026-07-07,통상,USTR,행정부,,美 USTR §301 강제노동 60개국 조사 절차 분수령— 서면의견 마감(7/6)·공청회(7/7); 한국 12.5% 추가관세 제안 대상,USTR 6/2 발표 §301 강제노동 조사(60개 경제권; 美 수입의 99%) 제안관세에 대한 서면의견 7/6(ET) 마감·공청회 7/7(ET) 개최; 한국은 강제노동 수입금지 미도입·미집행 54개 경제권에 포함돼 12.5% 제안 대상(10%는 금지제도 보유·약속 6개국— 캐나다·에콰도르·EU·인도네시아·멕시코·파키스탄); §122 10% 기본관세 만료(~7/24) 이후 대체 트랙으로 유력— 2025-11 한미 무역합의 15% 체계 위 중첩 리스크; 강제노동 수입금지 도입 약속 시 10% 구간 이동 여지,,2,https://ustr.gov/about/policy-offices/press-office/press-releases/2026/june/ustr-makes-findings-and-proposes-action-60-section-301-investigations-relating-failures-take-action
2026-07-08,안보,이재명·마크 뤼터(NATO),한국 대통령/NATO 사무총장,,이재명 대통령 NATO 앙카라 정상회의 참석(7/7)— 뤼터 첫 회담·IP4 회의 주재·'한-NATO 방산 파트너십 2.0' 제안,취임 후 첫 NATO 정상회의(제36차; 앙카라); 뤼터 사무총장 초청— 비동맹국 정상 참석은 이재명·젤렌스키 2인뿐; 7/7 도착 직후 뤼터와 첫 대면 회담·정상 만찬 참석; IP4 회의 주재(일본·호주·NZ는 국방장관급 참석); 방산 포럼서 무기판매 넘어 공동 개발·생산·운용 지향 'Korea-NATO Defense Industry Partnership 2.0' 제안— 세계 최대 방산시장 겨냥; 트럼프 조우 미확인(트럼프-젤렌스키 회담 7/8 예정; 이-트럼프 양자 일정 없음); 3500억달러 이행·15% 관세 체계는 지속 관찰; 정상회의 후 몽골 국빈방문 예정,,2,https://www.koreaherald.com/article/10801391
2026-07-09,안보,루비오·모테기·조현,한·미·일 외교장관,,올해 첫 한·미·일 외교장관 회담(7/8; NATO 앙카라 정상회의 계기)— 한반도 비핵화 재확인·북 사이버 공동 대응·경제안보 축 재확인,루비오 미 국무장관·모테기 일 외무상·조현 외교장관이 NATO 앙카라 정상회의(7/7~8) 계기 올해 첫 3국 외교장관 회담; '한반도 비핵화(denuclearization of the Korean Peninsula)' 공약 재확인; 북한 불법 사이버 활동 대응 협력 강화; 경제안보 핵심 축— 원자력·AI·양자기술 협력 심화·공급망 복원력·경제적 강압 공동 대응; 트럼프 대북 관여 기조에도 '비핵화' 문구 유지,,2,https://www.state.gov/releases/office-of-the-spokesperson/2026/07/united-states-japan-republic-of-korea-rok-trilateral-foreign-ministers-meeting
2026-07-09,산업,한·미·일 3국 정부,정부간 합의,,한·미·일 SMR(소형모듈원자로) 제3국 수출 협력 MOC 서명(7/7)— 인도태평양 초기 중점,3국 정부가 제3국 SMR 보급 가속화 3자 협력 프레임워크 MOC 서명(7/7; 앙카라 NATO 계기); 초기 중점 인도태평양; 한·미 원전수출 협력 구체 채널— 한국 원전산업(한수원·두산)의 미 주도 인도태평양 프로젝트 참여 여지; 향후 123협정 등 연계 관찰,,2,https://www.state.gov/releases/office-of-the-spokesperson/2026/07/the-united-states-japan-and-the-republic-of-korea-sign-a-trilateral-memorandum-of-cooperation-on-small-modular-reactor-deployments-in-other-countries/
2026-07-10,산업,美 국방부·해군/HD현대중공업·한화오션·삼성중공업,행정부/한국 조선3사,,美 국방부·해군 한국 조선3사에 구축함·중형 급유함 RFI 첫 발송(7/8 보도)— 미 정부의 한국 조선소 전투함 건조능력 첫 공식 타진,미 국방부(전투함/구축함)·미 해군(중형 급유함) RFI에 HD현대중공업·한화오션이 함정 설계·건조 역량 제출; 급유함 RFI엔 삼성중공업 포함 3사 회신— 연간 건조능력·설계인력·건조실적 등 제공; 트럼프 6월 G7(프랑스)서 이재명에 '미 군함 10척 빨리 지을 수 있나' 질문 후속; 정식 입찰 전 정보수집 단계로 MASGA 이행 구체화; Byrnes-Tollefson 수정조항(해군 함정 해외건조 금지)상 한국내 건조엔 법 개정 필요— NDAA 시즌 의회 이슈화 관찰,,2,https://www.koreatimes.co.kr/foreignaffairs/20260708/us-requests-information-on-korean-shipbuilders-naval-construction-capacity-sources
2026-07-11,산업,SK하이닉스,한국 반도체기업,,SK하이닉스 나스닥 ADR 상장(7/10)— 265억달러 조달로 외국기업 사상 최대 미국 상장; 첫날 약 +13% 마감,ADR 1억7790만주 주당 149달러(티커 SKHYV; 보통주 1주=ADR 10주); 265억달러 조달— 외국기업 미 증시 사상 최대·역대 3위(아람코 294억·스페이스X 857억 다음); 장중 168달러 터치(+17%) 후 약 +13% 마감; 청약 수요 공모 7배; 글로벌 HBM 점유율 약 56%— AI 반도체 수요 배경; 한미 자본시장 통합 심화·관세 리스크 헤지 상징,,2,https://www.forbes.com/sites/tylerroush/2026/07/10/sk-hynix-surges-17-in-record-setting-us-debut-heres-what-regular-investors-should-know/
2026-07-11,통상,이승헌(주미대사관 상무관)·한국무역협회,한국 정부/업계,,USTR §301 강제노동 관세 공청회서 한국 정부 '12.5% 부당' 공식 증언(7/9 ET)— 세율 15% 상한 시사 보도,주미대사관 이승헌 상무관 USTR 공청회(USITC 개최; 7/9 ET) 증언— 12.5% 제안관세 'neither appropriate nor necessary(적절하지도 필요하지도 않다)'; 강행 시 'more favorable treatment(더 유리한 대우)' 요구; KITA 회장 USTR에 유예·인하 촉구; 美측 §301 세율이 상호관세 15% 초과하지 않을 것이라 전달 보도; §122 10% 기본관세 7/24 만료 전 최종 발표 임박,,2,https://www.koreaherald.com/article/10804591
2026-07-12,산업,트럼프·이재명,미·한 대통령,,트럼프-이재명 NATO 앙카라 만찬 회동(7/7)— 군함 건조 협력 실무협의 진전 합의·이 대통령 방미(골프 포함) 조율,NATO 앙카라 정상회의 에르도안 주최 환영만찬(7/7 저녁)서 조우; 대통령실 대변인(7/8)— 미 군함 건조 협력 구체 방안 위한 실무급 협의 지속 합의; 이 대통령 한국 조선업 역량 강조·'최대한 협조' 언급; 적절한 시점 방미·골프 회동 조율 합의; 7/8 행의 '트럼프 조우 미확인' 결말— 만찬 계기 회동 확인; 국방부·해군 RFI(7/10 등재)와 맞물린 MASGA 최고위급 뒷받침,,2,https://www.koreaherald.com/article/10802825
2026-07-12,산업,하워드 러트닉(상무장관),행정부,,러트닉 삼성·SK하이닉스에 미국 내 메모리 팹 건설 압박(7/9 ET)— 'AI 메모리 부족' 이유·마이크론 뉴욕 착공식 발언,마이크론 뉴욕주 클레이 팹 콘크리트 타설식(7/9 ET)서 발언— 삼성전자·SK하이닉스에 미국 내 메모리 생산 확대 요구; 양사와 협의 중 확인(세부 비공개); 양사 호남권 약 800조원(5320억달러) 투자 발표 직후 압박; 업계는 DRAM 웨이퍼 팹 미국 이전이 궁극 목표로 관측; 연초 트럼프 '미건설 시 100% 관세' 위협과 연결; 마이크론 팹은 NY-22 경합지 인근— 반도체 일자리 중간선거 쟁점,NY-22,2,https://www.bloomberg.com/news/articles/2026-07-09/lutnick-presses-sk-hynix-samsung-to-boost-memory-output-in-us
2026-07-13,안보,제프리 재블론(RIMPAC 연합기동부대사령관·美 해군 중장),미 해군,,RIMPAC 2026서 한국 해군 사상 첫 해상구성군사령부(CMC) 지휘— 美 사령관 공개 호평(7/12 보도),김인호 해군 소장(한국 함대사령관) RIMPAC 해상구성군사령관 수행— 아시아 국가 최초; 재블론 중장 'extremely pleased(매우 만족)' 평가; 2024년 부사령관 수행 후 올해 지휘 승계; 정조대왕함·도산안창호함·P-8A 등 최신 전력 파견; 30개국·수상함 30여척·병력 약 3만(7/31까지); 해군 상호운용성— MASGA·군함 RFI 트랙의 동맹 신뢰 배경,,1,https://www.koreatimes.co.kr/southkorea/defense/20260712/us-commander-praises-koreas-rimpac-leadership
2026-07-14,산업,코스피/삼성전자·SK하이닉스,한국 증시/반도체기업,,호르무즈 전면봉쇄에 코스피 -8.95% 폭락(7/13)— 삼성 -10.7%·SK하이닉스 -15.4%; SK하이닉스 나스닥 ADR 상장차익 소멸,코스피 6806.93 마감(-8.95%; -669.01p)— 매도 사이드카 발동·올해 7번째 서킷브레이커성 이벤트; 삼성전자 -10.7%·SK하이닉스 -15.4%; 외국인·기관 2.8조원+ 순매도; IRGC 호르무즈 전면봉쇄 선언(7/12)·미-이란 3주 연속 주말 상호 공습이 트리거; SK하이닉스 나스닥 ADR(7/10 상장) 상장차익 소멸— 미 개인투자자 손실 노출; 나스닥 -1.55% 등 미 반도체 동반 약세,,2,https://www.koreajoongangdaily.com/business/shares-nosedive-almost-9-on-tech-losses-amid-middle-east-tensions/12771250
2026-07-14,안보,美 해군(연합해사정보센터)·트럼프,행정부,,美 이란 전 항만 해상봉쇄 발표(7/14 20:00 GMT 발효)— 국기 불문 전 선박 적용; 한국 원유 70% 호르무즈 경유 직접 노출,미 해군 주도 연합해사정보센터— 7/14 20:00 GMT부 이란 전 항만·연안 해상봉쇄 시행; 국기 불문 모든 선박 적용; 트럼프 '봉쇄' 재개 언급·안전통항료 부과 방침 시사; IRGC 7/12 호르무즈 전면봉쇄 선언·주말 미-이란 상호 공습 3주째 후속; 한국 원유수입 약 70%·LNG 36% 호르무즈/중동 의존; 5월 HMM선 폭발 후 트럼프 'join the mission(한국도 미션 참여할 때)' 공개 압박 전례— 재점화 관찰; 의회 7/13 휴회 복귀로 전쟁권한·동맹 기여 논쟁 국면,,2,https://www.justsecurity.org/146893/early-edition-july-13-2026/
2026-07-15,법안표결,미 상원 민주당,의회,,美 상원 FY2027 NDAA 클로처 부결(7/14; 50-46)— 이란전 항의 당론 저지; 한국 관련 조항 연례 입법 수단 정체,상원 민주당 이란전 항의로 약 1조달러 FY2027 국방수권법 진행 거부— 클로처 50-46 부결(사실상 당론); 백악관 이란 공습 재개 의회 통보(7/13) 다음날; NDAA는 한국 조항 연례 수단— FY26법(P.L.119-60) 주한미군 28;500 하한·OPCON 전환 자금 제한 포함; FY27은 MASGA·군함 RFI 트랙에 필요한 Byrnes-Tollefson 완화 유력 수단(DB 7/10)— 정쟁화·지연 시 일정 리스크; 중간선거 4개월 전 '전쟁의 대리 표결'화,,2,https://www.pbs.org/newshour/politics/watch-live-senate-democrats-block-1-trillion-annual-defense-bill-in-protest-over-iran-war
2026-07-15,안보,트럼프·美 해군(CENTCOM),행정부,,美 이란 해상봉쇄 발효(7/14 16:00 ET= 7/15 05:00 KST)— 호르무즈 20% 통항료는 하루 만에 철회·걸프 무역딜로 대체,이란 봉쇄 작전 7/14 16:00 ET 재개; 전일 발표한 해협 통과 화물 20% 수수료는 트럼프가 하루 만에 걸프 국가 무역·투자 딜로 '대체' 선언— 루비오 '국제 수로 통행료 불가' 공개 표명 후; 한국 원유 약 70% 호르무즈 경유·한국 국적/운용 선박 약 26척 걸프 발묶임(CSIS 집계)— 통항료 철회로 한국 유조선 '통행료 납부' 출구 무산; 정부 전략비축유 스왑 재개·7~8월 도입물량 100%+ 확보; 7/14 행(봉쇄 발표)의 발효 후속— 해상작전 기여 압박 재점화 관찰(5월 'join the mission' 전례),,2,https://www.cnn.com/2026/07/13/economy/trump-hormuz-fee
2026-07-16,통상,강경화(주미대사)·외교부,한국 정부,,강경화 주미대사 일시 귀국(7/14 발표)— 쿠팡 분쟁 장기화 속 안보 팩트시트·OPCON·관세 협의,외교부 7/14 발표— 강경화 주미대사 외교·안보·통상 현안 협의차 일시 귀국; 하원 법사위 보고서(7/1; DB 7/4)발 쿠팡 분쟁이 양자 의제 부담 우려 배경; 협의 의제— 안보 공동 팩트시트·전작권(OPCON) 전환·§122 10% 관세 만료(7/24 ET) 이후 관세 대응; 강 대사 'persisting longer than expected(예상보다 오래 지속)' 언급·양국 '동맹에 부담 안 되게 안정적 관리' 공감; 외교장관-주미대사 이례적 회동 보도(7/15); 의회발 통상압박이 외교 라인 소환으로 파급— §301 완료시한(~7/20)·§122 만료 직전 협상 태세 정비,,2,https://www.upi.com/Top_News/World-News/2026/07/14/kang-kyung-wha-coupang-us-envoy/1141784073647/
2026-07-16,안보,한미연합사령부(CFC),한·미 군,,사상 최대 한미 연합합동지속지원훈련(CJST 2026) 실시(7/13~16; 포항·홍천),격년제 CJST 역대 최대— 병력 4400명+(한국군 약 2400·미군 약 2000)·장비 약 600점(함정·항공기 포함); 포항(경북)·홍천(강원) 일대; 지상·해상·공중 5종 지속지원 자산 통합— 전영역 작전지속능력 강화; 이란전·호르무즈 봉쇄로 미군 전력 분산 국면의 동맹 대비태세 신호; NDAA 정체(DB 7/15) 속 USFK 태세 논쟁(주한미군 28;500 하한·OPCON)의 배경 자산,,1,https://www.upi.com/Top_News/World-News/2026/07/15/korea-US-Korea-Combined-Joint-Sustainment-Training-drill-largest-ever/3741784105679/
2026-07-17,산업,트럼프,행정부,,트럼프 '한국 기업들과 조선 협력 검토' 발언(7/15 ET; 펜실베이니아 국방혁신서밋)— 해군 재건 위해 한국 등 외국 기업 활용·역외 건조 함정 구매 시사,미 육군대학(칼라일 배럭스) Defense and Innovation Summit 연설— 'We're going to probably look at some of these companies that are coming in from Korea and other places; and they're working with us on ships(한국 등지에서 들어오는 기업들을 검토할 것)'; 'buy some ships that are made outside of the area(역외 건조 함정 구매)' 언급— 범위 불명확; 6월 G7·7/7 NATO 만찬 이재명 회동 및 국방부·해군 RFI(DB 7/10) 후속의 일관된 최고위 신호; NDAA 정체(DB 7/15) 속 Byrnes-Tollefson 완화 의제 유지— 입법경로 관찰; 연설장이 한화 필리조선소 소재 PA주,,2,https://www.koreatimes.co.kr/world/20260716/trump-says-us-will-look-at-korean-other-firms-for-shipbuilding-cooperation-to-strengthen-navy
2026-07-17,안보,진영승·댄 케인·우치쿠라 히로아키(한미일 합참의장),한·미·일 군,,제23차 한미일 합참의장회의(Tri-CHOD) 워싱턴 개최(7/15 ET)— 북 핵·미사일 위협 대응 3국 안보협력 재확인,진영승 합참의장·댄 케인 미 합참의장·우치쿠라 히로아키 일 통합막료장— 'trilateral security cooperation is crucial(3국 안보협력이 긴요)' 공동 재확인; 북 핵·미사일 위협·한반도/인도태평양 역내 도전 대응 명시; 차기 회의 2027년 일본 주최; 이란전·호르무즈 봉쇄로 미 전력 분산 국면의 대북 억제 연속성 신호; NDAA 정체(DB 7/15)·주한미군 28;500 하한·OPCON 논쟁의 배경,,2,https://www.koreatimes.co.kr/foreignaffairs/20260716/top-military-officers-of-s-korea-us-japan-reaffirm-3-way-cooperation-against-nk-threats
2026-07-17,북한,왕후닝·조용원,중국/북한,,왕후닝 방북(7/15~17)— 조용원 노동당 비서와 회담; 조중 우호조약 65주년 계기 관계 격상 재확인,중국 서열 4위 왕후닝(정협 주석) 당·정 대표단 3일간 방북— 조중 우호협력상호원조조약 65주년; 조용원과 회담— 6월 평양 시진핑-김정은 정상회담 합의 따라 양국관계 'to a higher level(더 높은 수준)' 격상 재확인; 북러 밀착 속 북중 관리 신호— 대북 제재 공조 균열 심화 맥락(Foreign Policy 7/16 분석); 미 의회 대북 제재 강경파 논거 관찰,,1,https://www.upi.com/Top_News/World-News/2026/07/16/China-Wang-Huning-adviser-meeting-Jo-Yong-Won-North-Korea-talks/1311784187128/
