date_end,date_start,pollster,sponsor,population,n,dem,rep,value,partisan,internal,poll_id,source_url
2025-03-09,2025-03-03,Clarity Campaign Labs,,RV,1036,46.0,44.0,2.0,,,gen202cla976max11,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/67d0921f11ba8d57a17670a9/1741722147070/Clarity+Omnibus+Overview+-+March+2025+PUBLIC.pdf
2025-03-11,2025-03-07,Hart Research Associates/Public Opinion Strategies,NBC News,RV,1000,48.0,47.0,1.0,,,gen202har342tk60o,https://www.nbcnews.com/politics/politics-news/democratic-party-hits-new-polling-low-voters-want-fight-trump-harder-rcna196161
2025-03-13,2025-03-10,Echelon Insights,,LV,1007,46.0,47.0,-1.0,,,gen202ech2d6zin7q,https://echelonin.wpenginepowered.com/wp-content/uploads/March-2025-Voter-Omnibus-Topline-External.pdf
2025-03-27,2025-03-25,Quantus Insights,,RV,1000,45.4,46.3,-0.9,,,gen202quaiwtcm3aw,https://quantusinsights.org/f/trump%E2%80%99s-standing-steadies-but-crosscurrents-remain-ahead-of-2026
2025-04-01,2025-03-27,"Fabrizio, Lee & Associates/Impact Research",The Wall Street Journal,RV,1500,44.0,43.0,1.0,,,gen202fabfbik5htr,https://prod-i.a.dj.com/public/resources/documents/March_2025_WSJPoll.pdf
2025-04-03,2025-04-01,Cygnal,,LV,1500,48.0,47.0,1.0,,,gen202cyg94pl7ubt,https://www.cygn.al/poll-democrats-continue-to-struggle-as-trump-maintains-strong-approval-even-in-light-of-tariffs/
2025-04-03,2025-04-01,Yale University Institution for Social and Policy Studies,,RV,4100,43.3,41.7,1.6,,,gen202yalkd7y97xk,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=856853932#gid=856853932
2025-04-08,2025-04-05,YouGov,The Economist,A,1735,39.0,36.0,3.0,,,gen202youc23q9p7i,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_pXJ0PxA.pdf#page31
2025-04-08,2025-04-05,YouGov,The Economist,RV,1558,43.0,42.0,1.0,,,gen202youop519jwx,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_pXJ0PxA.pdf#page31
2025-04-12,2025-04-10,RealClear Opinion Research,,RV,1000,40.0,39.0,1.0,,,gen202reaoc9iug5s,https://www.realclearpolitics.com/articles/2025/04/18/rcp_poll_voters_see_campus_bias_reject_trumps_tariff_pitch_152678.html
2025-04-13,2025-04-09,Hart Research Associates/Public Opinion Strategies,CNBC,A,1000,48.0,46.0,2.0,,,gen202hara7z5ongq,https://www.cnbc.com/video/2025/04/17/tariffs-weight-on-trump-approval-cnbc-survey-finds.html
2025-04-14,2025-04-09,Clarity Campaign Labs,,RV,1008,44.0,45.0,-1.0,,,gen202cla7zlr4w0h,https://45840940.fs1.hubspotusercontent-na1.net/hubfs/45840940/Clarity%20Omnibus%20Overview_April%202025.pdf
2025-04-14,2025-04-10,Echelon Insights,,LV,1014,47.0,47.0,0.0,,,gen202ech9fpc5ln8,https://echelonin.wpenginepowered.com/wp-content/uploads/April-2025-Voter-Omnibus-Topline-External.pdf
2025-04-16,2025-04-16,RMG Research,Napolitan Institute,RV,1000,50.0,45.0,5.0,,,gen202rmgruk5bty0,https://napolitannews.org/posts/democrats-make-huge-gains-on-generic-ballot
2025-04-18,2025-04-15,Noble Predictive Insights,The Center Square,RV,2527,45.0,42.0,3.0,,,gen202nobrpl52457,"https://www.editorandpublisher.com/stories/the-center-square-voters-voice-poll-weighs-voter-sentiment,255438"
2025-04-19,2025-04-16,McLaughlin & Associates,America's New Majority Project,RV,2000,44.5,44.3,0.2,REP,,gen202mclvyxcp9xo,https://americasnewmajorityproject.com/wp-content/uploads/2025/04/20250419-NationalANMP-Tabs.pdf
2025-04-19,2025-04-16,McLaughlin & Associates,America's New Majority Project,LV,1638,45.7,47.1,-1.4,REP,,gen202mcl3ti3buj1,https://americasnewmajorityproject.com/wp-content/uploads/2025/04/20250419-NationalANMP-Tabs.pdf
2025-04-21,2025-04-18,Beacon Research/Shaw & Co. Research,Fox News,RV,1104,49.0,42.0,7.0,,,gen202beaf9167992,https://static.foxnews.com/foxnews.com/content/uploads/2025/04/fox_april-18-21-2025_complete_national_cross-tabs_april-25-release.pdf
2025-04-24,2025-04-21,The New York Times/Siena College,,RV,913,47.0,44.0,3.0,,,gen202thebjaz89iw,https://www.nytimes.com/interactive/2025/04/25/us/elections/times-siena-poll-crosstabs.html
2025-04-27,2025-04-23,TrueDot.ai,NewsNation; Decision Desk HQ,RV,1448,45.0,40.0,5.0,,,gen202truwu1eg21g,https://nexstartv-my.sharepoint.com/:x:/g/personal/mhobe_nexstar_tv/Ed_IQP-AattKq1IhfspZkKUB_j3G-vcd-JiJJksGOx_TLQ?rtime=E1yhGTiJ3Ug
2025-05-05,2025-05-03,Big Data Poll,Public Polling Project,RV,3128,40.2,42.3,-2.1,,,gen202big9kvk7nz9,https://www.bigdatapoll.com/blog/poll-trump-approval-tempered-by-economic-concerns/
2025-05-06,2025-05-01,Verasight,Strength in Numbers,A,1000,47.0,41.0,6.0,,,gen202verd5ikieo6,https://www.gelliottmorris.com/p/new-poll-americans-oppose-trumps
2025-05-07,2025-05-05,Quantus Insights,TrendingPolitics,RV,1000,45.2,44.8,0.4,REP,,gen202quajinwv0yy,https://drive.google.com/file/d/1LYTAPAsIBBz_BShqyN4ZeZsQkDlLzbZM/view
2025-05-08,2025-05-06,Cygnal,,LV,1500,47.1,46.6,0.5,,,gen202cygvde1zskf,https://www.cygn.al/wp-content/uploads/2025/05/23020-Cygnal-National-May25-NVT-Deck-Public-1.pdf
2025-05-09,2025-05-07,co/efficient,,LV,1462,45.0,42.0,3.0,REP,,gen202co/4t7ptbdb,https://coefficient.org/national-approval-study/
2025-05-12,2025-05-08,Echelon Insights,,LV,1000,47.0,48.0,-1.0,,,gen202echpyu49cpi,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
2025-05-19,2025-05-15,Fabrizio Ward,Pinpoint Policy Institute,RV,800,42.0,42.0,0.0,,,gen202fabu4lhyn5f,https://pinpointpolicyinstitute.org/wp-content/uploads/2025/06/National-Spring-Quarterly-Tracking-Memo-6-2-25-1.pdf
2025-05-21,2025-05-20,RMG Research,Napolitan Institute,RV,1000,48.0,45.0,3.0,,,gen202rmg6xpdqeec,https://napolitannews.org/posts/generic-ballot-gop-43-percent-dem-43
2025-05-26,2025-05-21,McLaughlin & Associates,,RV,1000,43.0,47.0,-4.0,,,gen202mcljanjojb4,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
2025-05-27,2025-05-21,AtlasIntel,,RV,3469,50.9,41.7,9.2,,,gen202atld6aqnb7h,https://atlasintel.org/poll/usa-national-2025-05-30
2025-06-02,2025-05-30,YouGov,The Economist,A,1610,39.0,36.0,3.0,,,gen202youka5tphmn,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_MV984ah.pdf
2025-06-02,2025-05-30,YouGov,The Economist,RV,1436,44.0,42.0,2.0,,,gen202youd9o38mxk,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_MV984ah.pdf
2025-06-04,2025-06-03,Cygnal,,LV,1500,47.2,46.9,0.3,,,gen202cyg8kwfijqm,https://www.cygn.al/wp-content/uploads/2025/06/Cygnal-National-NVT-June25-Deck.pdf
2025-06-04,2025-06-01,Quantus Insights,TrendingPolitics,RV,1000,46.0,45.0,1.0,REP,,gen202qua2ni0aq5i,https://drive.google.com/file/d/1SFF1dEYQckjhF-RcJscsORgjYaM1hkOT/view
2025-06-06,2025-06-06,J.L. Partners,DailyMail.com,RV,1006,42.0,35.0,7.0,,,gen202j.l2bfn82ku,https://www.dailymail.co.uk/news/article-14796175/polling-donald-trump-2024-election-elon-musk.html
2025-06-09,2025-06-09,RMG Research,Napolitan Institute,RV,1000,35.0,35.0,0.0,,,gen202rmgpnqy9sk9,https://napolitannews.org/posts/musk-3rd-party-would-get-8-percent-of-voters
2025-06-11,2025-06-09,McLaughlin & Associates,Club for Growth (PAC),LV,1000,44.0,46.0,-2.0,REP,,gen202mclihh8jya5,https://www.clubforgrowth.org/wp-content/uploads/securepdfs/2025/06/National-CFG-Memo-06-12-25.pdf
2025-06-11,2025-06-09,Quantus Insights,TrendingPolitics,RV,1000,43.0,43.0,0.0,REP,,gen202quai8e49h8e,https://drive.google.com/file/d/1AQ_6yT9lTlj7wLGm38j8x0vtSMtPNMcK/view
2025-06-12,2025-06-06,Verasight,Strength in Numbers,A,1500,45.0,37.0,8.0,,,gen202verpqhwodpk,https://www.gelliottmorris.com/p/trump-approval-at-42-democrats-up
2025-06-14,2025-06-05,Clarity Campaign Labs,,RV,1000,50.0,45.0,5.0,,,gen202clazygbqy34,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/6852fc5a3ac4c05449fc450e/1750269023826/Clarity+Omnibus+Overview+-+June+2025+%5BPUBLIC%5D.pdf
2025-06-15,2025-06-10,McLaughlin & Associates,,LV,1000,42.0,47.0,-5.0,,,gen202mclarvhkqz8,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
2025-06-16,2025-06-12,co/efficient,,LV,1035,46.0,46.0,0.0,REP,,gen202co/xyb0ntw4,https://coefficient.org/wp-content/uploads/2025/06/OBB-questions-and-methodology.pdf
2025-06-17,2025-06-12,Echelon Insights,,LV,982,47.0,48.0,-1.0,,,gen202ech6ounr4d8,https://echelonin.wpenginepowered.com/wp-content/uploads/June-2025-Voter-Omnibus-Topline-EXTERNAL.pdf
2025-06-18,2025-06-17,Echelon Insights,,LV,1002,47.0,48.0,-1.0,,,gen202echu3oo3mcn,https://echelonin.wpenginepowered.com/wp-content/uploads/June-2025-Middle-East-Update.pdf
2025-06-19,2025-06-18,RMG Research,Napolitan Institute,RV,1000,44.0,52.0,-8.0,,,gen202rmglf50tj7y,https://napolitannews.org/posts/generic-ballot-gop-holds-largest-lead-of-the-year
2025-06-21,2025-06-19,Cygnal,,LV,800,48.4,46.0,2.4,,,gen202cyg89px44ex,https://www.cygn.al/wp-content/uploads/2025/06/Cygnal-National-Bitcoin-Policy-Summit-Deck.pdf
2025-06-25,2025-06-23,American Pulse Research & Polling,,RV,633,46.6,42.4,4.2,,,gen202amejvub7k7r,https://s3.amazonaws.com/kajabi-storefronts-production/file-uploads/sites/24373/themes/2158162839/downloads/21cb32-c88-2208-3bd4-047cb00ebdd_250626_American_Pulse_-_Iran_the_Middle_East_Survey_-_Topline_Report.pdf
2025-06-25,2025-06-24,Emerson College,,RV,1000,42.5,39.8,2.7,,,gen202emeq4b54wek,https://docs.google.com/spreadsheets/d/1cwlzwZ55-BHCkCuixS1F8QfAQItDbGpL/edit?gid=47272069#gid=47272069
2025-06-25,2025-06-23,Quantus Insights,,RV,1000,43.0,42.0,1.0,,,gen202quam59oib9x,https://docs.google.com/spreadsheets/d/1JpJHtbUwDhrW777D0MyY10jeSJSJK7YZ/edit?gid=1873450102#gid=1873450102
2025-07-02,2025-07-01,Cygnal,,LV,1500,47.1,45.7,1.4,,,gen202cygt093uupy,https://www.cygn.al/wp-content/uploads/2025/07/Cygnal-National-NVT-Jul25-Deck-Public.pdf
2025-07-10,2025-07-07,A2 Insights,,RV,862,47.7,44.4,3.3,,,gen202a226qothu7,https://drive.google.com/file/d/1rWAD3mtcrfDv02JzCYf9LLJmRebMkq85/view?pli=1
2025-07-14,2025-07-12,Big Data Poll,,RV,3022,42.3,41.1,1.2,,,gen202bigrh81qj7f,https://application.marketsight.com/app/ItemView.aspx?SharedFor=public%40bigdatapoll.com&SharedBy=34090&id=3365ed0e-4357-4944-a962-b31b01623800
2025-07-14,2025-07-10,Echelon Insights,,LV,1084,48.0,47.0,1.0,,,gen202echtswvtnjv,https://echelonin.wpenginepowered.com/wp-content/uploads/July-2025-Voter-Omnibus-Topline-External.pdf
2025-07-14,2025-07-09,McLaughlin & Associates,,LV,1000,42.0,47.0,-5.0,,,gen202mclgsxu2e9s,https://mclaughlinonline.com/pols/wp-content/uploads/2025/07/National-July-Presentation-RELEASE-07-15-25.pdf
2025-07-16,2025-07-14,Quantus Insights,,RV,1000,44.0,42.0,2.0,,,gen202quak5gyiggj,https://drive.google.com/file/d/1itHIYE8XQgWu6RGm_NXhcWK2amJjONku/view
2025-07-16,2025-07-14,RMG Research,Napolitan Institute,RV,2000,45.0,49.0,-4.0,,,gen202rmgc9ozdjxa,https://napolitannews.org/posts/generic-ballot-july-2025-republicans-46-percent-democrats-42
2025-07-16,2025-07-14,Verasight,Strength In Numbers,A,1500,47.0,43.0,4.0,,,gen202vero2bmi16u,https://www.gelliottmorris.com/p/new-poll-dems-lead-house-generic#07-16-2025
2025-07-18,2025-07-13,AtlasIntel,,A,1435,51.3,42.7,8.6,,,gen202atlo0aotwuu,https://cdn.atlasintel.org/20e36f18-42bd-4a28-85f4-9f623905ba71.pdf?_gl=1*3tf2cu*_ga*Nzg1NTgxMTM2LjE3NTI4ODY1ODc.*_ga_W78QD5CNP1*czE3NTI4ODY1ODckbzEkZzAkdDE3NTI4ODY1OTQkajUzJGwwJGgw
2025-07-20,2025-07-16,"Fabrizio, Lee & Associates/Impact Research",The Wall Street Journal,RV,1500,46.0,43.0,3.0,,,gen202fab0x8kfit6,https://prod-i.a.dj.com/public/resources/documents/Redacted1WSJPollJuly2025.pdf
2025-07-22,2025-07-21,Emerson College,Nexstar,RV,1400,44.0,41.5,2.5,,,gen202emebeodreqf,https://docs.google.com/spreadsheets/d/1iZsOtBWxln95TjYfOOGE6cfqX6WC86M8/edit?usp=drivesdk&ouid=114621343622731351074&rtpof=true&sd=true
2025-07-24,2025-07-21,McLaughlin & Associates,America's New Majority Project,RV,2000,45.5,42.8,2.7,REP,,gen202mclohlxon8b,https://americasnewmajorityproject.com/wp-content/uploads/2025/07/20250724-NationalANMP-Tabs.pdf
2025-07-24,2025-07-21,McLaughlin & Associates,America's New Majority Project,LV,1633,48.0,43.9,4.1,REP,,gen202mcloyh3lgu2,https://americasnewmajorityproject.com/wp-content/uploads/2025/07/20250724-NationalANMP-Tabs.pdf
2025-07-28,2025-07-25,YouGov,The Economist,RV,1610,43.0,41.0,2.0,,,gen202you17ay13jf,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention#07-28-2025
2025-07-28,2025-07-24,YouGov,Yahoo News,RV,1167,46.0,39.0,7.0,,,gen202youpi8ec2w9,https://d3nkl3psvxxpe9.cloudfront.net/documents/20250728_yahoo.pdf
2025-07-29,2025-07-27,Grayhouse,America One Policies,RV,2000,47.0,44.0,3.0,REP,,gen202gra10f7957a,https://cdn.prod.website-files.com/5d02aaade6188137a65c8441/6894e3bfba25e36f2fad12de_OBBB%20Message%20Testing%20Full.pdf
2025-07-31,2025-07-24,Clarity Campaign Labs,,RV,1018,51.0,43.0,8.0,,,gen202clalnle0qvn,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/68936b40c111f97bb04773dd/1754491714447/Clarity+Omnibus+Overview+-+July+2025+%5BPUBLIC%5D.pdf
2025-08-03,2025-07-29,Hart Research Associates/Public Opinion Strategies,CNBC,A,1000,49.0,44.0,5.0,,,gen202har0make8oa,https://pos.org/wp-content/uploads/2025/08/250178-CNBC-AAES-Q2-2025-Topline-8-7-2025-Release.pdf
2025-08-04,2025-08-01,YouGov,The Economist,RV,1528,43.7,38.4,5.3,,,gen202you5nvjdg0d,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention#08-04-2025
2025-08-09,2025-08-07,Cygnal,,LV,1500,47.4,46.4,1.0,,,gen202cygx97a37q3,https://www.cygn.al/wp-content/uploads/2025/08/23190-Cygnal-National-Aug25-NVT-Deck-Public.pdf
2025-08-11,2025-08-09,YouGov,The Economist,RV,1474,42.0,40.0,2.0,,,gen202youqy708wzr,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Y7xe8fY.pdf
2025-08-11,2025-08-09,YouGov,The Economist,A,1635,38.0,35.0,3.0,,,gen202youdt2jed2r,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Y7xe8fY.pdf
2025-08-13,2025-08-11,Quantus Insights,,RV,1000,45.0,42.0,3.0,,,gen202quajdyo7pkq,https://drive.google.com/file/d/1p5seXSsPUMcdYt5QC_x_ViSrSEWF261z/view?usp=sharing
2025-08-17,2025-08-08,The Argument/Verasight,,RV,1562,50.7,49.3,1.4,,,gen202ver7h9q7ohb,https://www.theargumentmag.com/p/when-americans-bite-their-tongues
2025-08-18,2025-08-14,Echelon Insights,,LV,1057,47.0,46.0,1.0,,,gen202ech9hy93vz4,https://echeloninsights.com/in-the-news/august-2025-verified-voter-omnibus/
2025-08-19,2025-08-19,SoCal Strategies,Red Eagle Politics; On Point Politics,A,700,42.0,37.0,5.0,REP,,gen202socpg04kbqs,https://docs.google.com/spreadsheets/d/1Bj9_tUbMG1yCnME1rc7ggQF7qt8mmxetIfD7bQL167w/edit?gid=0#gid=0
2025-08-21,2025-08-13,RMG Research,Napolitan Institute,RV,2000,47.0,47.0,0.0,,,gen202rmg0qu6vxjv,https://napolitannews.org/jobapproval#08-21-2025
2025-08-21,2025-08-18,Verasight,Strength In Numbers,A,1500,49.0,41.0,8.0,,,gen202verlm7t42sj,https://www.gelliottmorris.com/p/democrats-lead-the-us-house-generic
2025-08-25,2025-08-22,YouGov,The Economist,A,1523,41.0,36.0,5.0,,,gen202youo8x4q0vn,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_otzzSNZ.pdf
2025-08-25,2025-08-22,YouGov,The Economist,RV,1377,43.0,41.0,2.0,,,gen202youn5v2en4c,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_otzzSNZ.pdf
2025-08-26,2025-08-25,Emerson College,,RV,1000,43.3,43.0,0.3,,,gen202emecljgqucw,https://docs.google.com/spreadsheets/d/11Pmwdv5G5pCF8yTyrQo6e2oIdwHB97rD/edit?usp=sharing&ouid=107857247170786005927&rtpof=true&sd=true
2025-08-26,2025-08-21,McLaughlin & Associates,,LV,1000,45.0,47.0,-2.0,,,gen202mclotv6jiyc,https://mclaughlinonline.com/pols/wp-content/uploads/2025/09/National-August-Presentation-RELEASE-8-27-25.pdf
2025-08-31,2025-08-29,Morning Consult,,RV,2202,45.0,41.0,4.0,,,gen202mor6axnc681,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling#08-31-2025
2025-09-01,2025-08-21,CNN/SSRS,,RV,1768,52.0,48.0,4.0,,,gen202cnnf4eemdg0,https://s3.documentcloud.org/documents/26157888/cnn-poll-of-political-independents.pdf
2025-09-01,2025-08-21,CNN/SSRS,,A,2077,52.0,47.0,5.0,,,gen202cnnz5gr05wh,https://s3.documentcloud.org/documents/26157888/cnn-poll-of-political-independents.pdf
2025-09-01,2025-08-30,The Winston Group,Winning the Issues,RV,1000,47.0,43.0,4.0,REP,,gen202the06ea19a9,https://www.winningtheissues.org/wp-content/uploads/2026/01/August-2025-WTI-Survey.pdf
2025-09-02,2025-08-29,YouGov,The Economist,A,1691,38.0,34.0,4.0,,,gen202you6gd1ztte,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_S3c69M7.pdf
2025-09-02,2025-08-29,YouGov,The Economist,RV,1549,43.0,39.0,4.0,,,gen202your87uzbzs,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_S3c69M7.pdf
2025-09-03,2025-09-02,Cygnal,,LV,1500,47.6,45.2,2.4,,,gen202cygm024mspc,https://www.cygn.al/wp-content/uploads/2025/09/23260-Cygnal-National-Sep25-NVT-Deck-Public.pdf
2025-09-08,2025-08-15,Public Religion Research Institute,Carnegie Corporation of New York,A,5543,33.0,30.0,3.0,,,gen202pubiit67q1r,https://prri.org/wp-content/uploads/2025/10/2025-PRRI-American-Values-Survey-Topline.pdf
2025-09-08,2025-09-05,YouGov,The Economist,RV,1487,44.0,40.0,4.0,,,gen202you2p4uzn5h,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_posPy08.pdf
2025-09-08,2025-09-05,YouGov,The Economist,A,1644,39.0,36.0,3.0,,,gen202you999v1jo9,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_posPy08.pdf
2025-09-11,2025-09-04,Clarity Campaign Labs,,RV,1001,50.0,44.0,6.0,,,gen202claqz8c6eq2,https://www.claritycampaigns.com/clarity-omnibus-september-2025
2025-09-15,2025-09-12,YouGov,The Economist,A,1567,37.0,33.0,4.0,,,gen202you3zywlqvj,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_jmHpS1k.pdf
2025-09-15,2025-09-12,YouGov,The Economist,RV,1420,43.0,41.0,2.0,,,gen202you3zqd80t3,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_jmHpS1k.pdf
2025-09-16,2025-09-12,AtlasIntel,,A,1066,51.8,43.5,8.3,,,gen202atlrgkgae5p,https://cdn.atlasintel.org/e734ffb6-e175-4467-b745-bd32bf1aca9a.pdf
2025-09-16,2025-09-11,"Normington, Petts & Associates",Third Way,LV,800,51.0,49.0,2.0,,,gen202norfk3u33ni,https://thirdway.imgix.net/downloads/americans-caught-between-trumps-cruelty-and-democrats-chaos/Third-Way-and-Normington-Petts-National-Immigration-Survey-Toplines.pdf
2025-09-18,2025-09-15,The Argument/Verasight,,RV,1541,53.0,47.0,6.0,,,gen202thesffydwfg,https://www.theargumentmag.com/p/chatgpt-and-the-end-of-learning
2025-09-19,2025-09-15,Verasight,Strength In Numbers,A,1500,47.0,42.0,5.0,,,gen202verx9vhr5vb,https://www.gelliottmorris.com/p/new-poll-voters-to-blame-republicans-for-shutdown
2025-09-22,2025-09-18,Echelon Insights,,LV,1071,47.0,46.0,1.0,,,gen202echvj9qagzq,https://echelonin.wpenginepowered.com/wp-content/uploads/September-2025-Voter-Omnibus-Topline-External-1.pdf
2025-09-22,2025-09-17,McLaughlin & Associates,,LV,1000,41.0,47.0,-6.0,,,gen202mcl3ui9mclo,https://mclaughlinonline.com/pols/wp-content/uploads/2025/09/National-September-Presentation-RELEASE-9-24-25-1.pdf
2025-09-22,2025-09-19,YouGov,The Economist,A,1551,39.0,35.0,4.0,,,gen202you07in5isq,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_XUKbKYQ.pdf
2025-09-22,2025-09-19,YouGov,The Economist,RV,1392,45.0,42.0,3.0,,,gen202youy9ls683f,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_XUKbKYQ.pdf
2025-09-24,2025-09-22,RMG Research,Napolitan Institute,RV,2000,45.0,46.0,-1.0,,,gen202rmgbqgqn651,https://napolitannews.org/posts/generic-ballot-gop-43-percent-dem-41
2025-09-27,2025-09-22,The New York Times/Siena College,,RV,1313,47.0,45.0,2.0,,,gen202the5q6hvdvt,https://www.nytimes.com/interactive/2025/09/30/polls/times-siena-poll-registered-voter-crosstabs.html
2025-09-29,2025-09-26,YouGov,The Economist,A,1656,41.0,35.0,6.0,,,gen202youmu5vzabb,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_5xxkX0x.pdf
2025-09-29,2025-09-26,YouGov,The Economist,RV,1518,44.0,41.0,3.0,,,gen202youfc649q73,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_5xxkX0x.pdf
